city,date,variant,rna,rna_norm,flow,proportion,new_cases
Altenrhein (SG),2021-04-21,B.1.1.7 (Alpha),768490718120.1046,50.33283931304861,15303.89329528809,0.9852779840087494,12.016011203125
Altenrhein (SG),2021-04-22,B.1.1.7 (Alpha),1824994621913.693,119.52930450046607,15043.1925201416,0.984870837695353,16.4708719375
Altenrhein (SG),2021-04-23,B.1.1.7 (Alpha),1930066417045.6462,126.41105551711742,15041.69230651855,0.9830345552309712,27.817320312499998
Altenrhein (SG),2021-04-24,B.1.1.7 (Alpha),1746829154804.1619,114.40980233461356,14342.19221496582,0.980185824361092,7.414944890625
Altenrhein (SG),2021-04-25,B.1.1.7 (Alpha),2335811892369.032,152.98564038836474,14050.48893737793,0.9770794773253286,3.52528446875
Altenrhein (SG),2021-04-26,B.1.1.7 (Alpha),1475227795664.9587,96.62108056553345,16764.78889465332,0.9744088745373408,29.141874765625
Altenrhein (SG),2021-04-27,B.1.1.7 (Alpha),1338153792760.5935,87.643322474897,15560.98854064941,0.9728286968958944,11.884952546875
Altenrhein (SG),2021-04-28,B.1.1.7 (Alpha),2107641180967.942,138.04143939529536,15071.78907775879,0.9728173094892776,23.299221859375
Altenrhein (SG),2021-04-29,B.1.1.7 (Alpha),1136698117659.5015,74.4488415469175,17034.58961486816,0.9742014886084304,12.354915640624998
Altenrhein (SG),2021-04-30,B.1.1.7 (Alpha),2077584356385.4775,136.07284655962596,19751.48954772949,0.975944577916837,22.790475921875
Altenrhein (SG),2021-05-01,B.1.1.7 (Alpha),3190344215075.307,208.95383502290176,65967.79066467285,0.9766161756643046,10.51616775
Altenrhein (SG),2021-05-02,B.1.1.7 (Alpha),2039713004371.828,133.5924357615179,56640.2850189209,0.9750939753715074,0
Altenrhein (SG),2021-05-03,B.1.1.7 (Alpha),3814113542297.5757,249.80804519773446,47096.28898620605,0.9710083090706598,20.283252375
Altenrhein (SG),2021-05-04,B.1.1.7 (Alpha),784486272762.0955,51.38047939839391,17046.18800354004,0.964960538423159,13.544454640625
Altenrhein (SG),2021-05-05,B.1.1.7 (Alpha),2080474662066.8801,136.26214916016158,40058.08854675293,0.9588076790506188,17.37139059375
Altenrhein (SG),2021-05-06,B.1.1.7 (Alpha),1743537314465.4595,114.1942009396905,33413.78773498535,0.9552878027588338,10.26880921875
Altenrhein (SG),2021-05-07,B.1.1.7 (Alpha),1495292712917.8389,97.93524641309153,43409.28776550293,0.9565336666841624,10.622546093750001
Altenrhein (SG),2021-05-08,B.1.1.7 (Alpha),4570573990378.338,299.3529535254043,43390.68663024902,0.9624833437686436,7.386765109375
Altenrhein (SG),2021-05-09,B.1.1.7 (Alpha),2170615718419.3916,142.16600095423146,21492.98713684082,0.971049561660706,10.842499265625
Altenrhein (SG),2021-05-10,B.1.1.7 (Alpha),1202856392895.9575,78.78192424809927,18416.58772277832,0.9798209778793948,32.623235718749996
Altenrhein (SG),2021-05-11,B.1.1.7 (Alpha),1323860266815.5217,86.70715795443269,45104.88902282715,0.9871509702278404,11.812010484375
Altenrhein (SG),2021-05-12,B.1.1.7 (Alpha),1808194517132.0872,118.42896983867149,45178.78944396973,0.9924098578853084,5.472639640625
Altenrhein (SG),2021-05-13,B.1.1.7 (Alpha),3133013827739.4434,205.19894103981022,44138.8875579834,0.9956009103387322,0
Altenrhein (SG),2021-05-14,B.1.1.7 (Alpha),1868017113445.3599,122.34709279907756,23060.88792419434,0.9969595091683724,18.75679634375
Altenrhein (SG),2021-05-15,B.1.1.7 (Alpha),2110167898918.9,138.20692856206898,30844.6883392334,0.9969415275031448,6.045556234375
Altenrhein (SG),2021-05-16,B.1.1.7 (Alpha),1229173311798.6516,80.50556933464516,37762.18885803223,0.9962769089942388,0
Altenrhein (SG),2021-05-17,B.1.1.7 (Alpha),2326050522394.7314,152.3463126062497,36604.88829040527,0.9957310423423475,39.838208734375
Altenrhein (SG),2021-05-18,B.1.1.7 (Alpha),2372374665508.276,155.38034489404671,30450.78797912598,0.9957664693387042,19.50993496875
Altenrhein (SG),2021-05-19,B.1.1.7 (Alpha),3877699683831.209,253.97266419557764,34150.38777160645,0.9964642967150338,18.88200809375
Altenrhein (SG),2021-05-20,B.1.1.7 (Alpha),3763933856032.382,246.5214914033782,34006.98762512207,0.9976408023435837,18.462873796875
Altenrhein (SG),2021-05-21,B.1.1.7 (Alpha),1797184869886.7463,117.70788525999414,39327.08738708496,0.9989562532740108,3.548461796875
Altenrhein (SG),2021-05-22,B.1.1.7 (Alpha),4244220373583.9272,277.9781941873506,42215.98835754395,0.9999939975197312,7.439000468749999
Altenrhein (SG),2021-05-23,B.1.1.7 (Alpha),6570718292484.191,430.3538093419477,36744.08750915527,0.999999998489074,0
Altenrhein (SG),2021-05-24,B.1.1.7 (Alpha),3749564878504.7256,245.58038512852104,30746.08726501465,0.9999999975235548,2.9709294531249997
Altenrhein (SG),2021-05-25,B.1.1.7 (Alpha),2145323717458.3245,140.50948358809728,28979.39114189148,0.9999999791120135,29.40267925
Altenrhein (SG),2021-05-26,B.1.1.7 (Alpha),3436990244925.1675,225.10808997344003,23206.39138793945,0.9996819218339325,16.657844515625
Altenrhein (SG),2021-05-27,B.1.1.7 (Alpha),2063697883407.7417,135.16334225914053,33158.49206542969,0.9991046888295696,8.57072546875
Altenrhein (SG),2021-05-28,B.1.1.7 (Alpha),2179278503863.2996,142.73337617096567,33144.59121704102,0.9985243808571682,15.362909265624998
Altenrhein (SG),2021-05-29,B.1.1.7 (Alpha),1170700869514.2036,76.67587566060307,18389.99111938477,0.9979440728847668,9.118057234375001
Altenrhein (SG),2021-05-30,B.1.1.7 (Alpha),1259334124136.8833,82.48097292141168,16813.89086914062,0.9974694332204304,0
Altenrhein (SG),2021-05-31,B.1.1.7 (Alpha),775988081337.6503,50.82388438256279,17318.79055786133,0.9972892393251056,10.252155281250001
Altenrhein (SG),2021-06-01,B.1.1.7 (Alpha),1456778209517.8782,95.41271196323612,26173.79508972168,0.9971712764501256,4.5378574218750005
Altenrhein (SG),2021-06-02,B.1.1.7 (Alpha),2046217414183.3071,134.01844665032635,18867.89503479004,0.9969258191730656,11.8024144375
Altenrhein (SG),2021-06-03,B.1.1.7 (Alpha),1675851060730.6936,109.76104221362536,22610.89636230469,0.9967164292359793,0
Altenrhein (SG),2021-06-04,B.1.1.7 (Alpha),843852720783.649,55.26872660606976,19946.0952911377,0.9964851202597066,11.7048995625
Altenrhein (SG),2021-06-05,B.1.1.7 (Alpha),684346816549.9375,44.82177538339644,38772.79600524902,0.9959453810782734,0
Altenrhein (SG),2021-06-06,B.1.1.7 (Alpha),1303720657179.617,85.38810007679011,61039.19633483887,0.9945248289178156,0
Altenrhein (SG),2021-06-07,B.1.1.7 (Alpha),677235249538.6257,44.35599830736364,70936.99771118164,0.9915443856618844,4.608197171875
Altenrhein (SG),2021-06-08,B.1.1.7 (Alpha),1085840661448.7527,71.11789673396277,52420.29350280762,0.9864453676705834,5.659143609375
Altenrhein (SG),2021-06-09,B.1.1.7 (Alpha),553472513521.667,36.25007099034524,39567.18692016602,0.978375228333508,0
Altenrhein (SG),2021-06-10,B.1.1.7 (Alpha),543323052339.2044,35.58532490198576,33295.08361816406,0.9665801470845304,0
Altenrhein (SG),2021-06-11,B.1.1.7 (Alpha),391260195330.011,25.625861284715832,22042.98330688477,0.950511487000004,0
Altenrhein (SG),2021-06-12,B.1.1.7 (Alpha),299055501956.2953,19.586850134599587,19105.78382873535,0.9305960831868308,0
Altenrhein (SG),2021-06-13,B.1.1.7 (Alpha),356009648939.4769,23.317101991549425,18697.98420715332,0.9098542545356968,0
Altenrhein (SG),2021-06-14,B.1.1.7 (Alpha),486689907758.60175,31.876097322840646,18439.98384094238,0.8947736204830706,5.477310375
Altenrhein (SG),2021-06-15,B.1.1.7 (Alpha),274848816001.33673,18.00141623703371,17689.18367004395,0.8930409410661823,4.463132187499999
Altenrhein (SG),2021-06-16,B.1.1.7 (Alpha),126025990385.94696,8.254160751454014,18012.88438415527,0.9073918491934548,4.573410015625
Altenrhein (SG),2021-06-17,B.1.1.7 (Alpha),188438220029.07874,12.341893565561842,17478.08015441895,0.931067616670983,0
Altenrhein (SG),2021-06-18,B.1.1.7 (Alpha),167441169533.9991,10.966676996645988,17481.48036193848,0.9547433841485112,0
Altenrhein (SG),2021-06-19,B.1.1.7 (Alpha),681394333294.382,44.62840041897284,17228.88136291504,0.9712193635968368,0
Altenrhein (SG),2021-06-20,B.1.1.7 (Alpha),416824979512.7382,27.300244779534925,16633.78260803223,0.9811029211079296,0
Altenrhein (SG),2021-06-21,B.1.1.7 (Alpha),99987438764.11816,6.548747525472536,21938.17767333984,0.9866529892684194,0
Altenrhein (SG),2021-06-22,B.1.1.7 (Alpha),86382191738.295,5.657662316219473,21568.67642211914,0.9895964021990056,0
Altenrhein (SG),2021-06-23,B.1.1.7 (Alpha),27072406418.18327,1.77312627197015,29454.7781829834,0.9902569587864298,0
Altenrhein (SG),2021-06-24,B.1.1.7 (Alpha),108366568484.05684,7.097544511347062,29355.47732543945,0.9909175153738542,0
Altenrhein (SG),2021-06-25,B.1.1.7 (Alpha),15268177369.061636,1,16611.77697753906,0.9911344738150422,1.551690265625
Altenrhein (SG),2021-06-26,B.1.1.7 (Alpha),86204341661.23616,5.646013900514058,15294.67825317383,0.9932709809612849,0
Altenrhein (SG),2021-06-27,B.1.1.7 (Alpha),54937453454.66982,3.5981670979269094,15559.27925109863,0.9947150963944176,0
Altenrhein (SG),2021-06-28,B.1.1.7 (Alpha),171724408438.0979,11.247210736893075,23568.97959899902,0.9926086793467432,0
Altenrhein (SG),2021-06-29,B.1.1.7 (Alpha),397854675246.9625,26.057771378340636,47079.78105163574,0.988672009119325,0
Altenrhein (SG),2021-06-30,B.1.1.7 (Alpha),30666984642.2532,2.008555697315557,33365.67929077148,0.9823933729630272,0
Altenrhein (SG),2021-07-01,B.1.1.7 (Alpha),27666432633.119473,1.8120324361164937,30101.07870483398,0.9727672229547684,4.679929890625
Altenrhein (SG),2021-07-02,B.1.1.7 (Alpha),15840328973.882338,1.0374734711937568,17234.27792358398,0.9584863092608236,0
Altenrhein (SG),2021-07-03,B.1.1.7 (Alpha),16451451357.673203,1.077499360926293,17899.17907714844,0.9376475854192377,0
Altenrhein (SG),2021-07-04,B.1.1.7 (Alpha),126762603214.1894,8.302405725980906,28548.5799407959,0.907200697177801,0
Altenrhein (SG),2021-07-11,B.1.617.2 (Delta),42548880549.03817,2.041426559174174,46293.18203735352,0.9073692268300354,0
Altenrhein (SG),2021-07-12,B.1.617.2 (Delta),34395568735.459274,1.6502438284725842,37422.37878417969,0.9273964708687656,0
Altenrhein (SG),2021-07-13,B.1.617.2 (Delta),44462480026.13292,2.1332379710316673,48375.17826843262,0.9386632044100008,3.109787625
Altenrhein (SG),2021-07-14,B.1.617.2 (Delta),43948783958.659454,2.108591663491918,47816.27694702148,0.943447788496824,3.98951028125
Altenrhein (SG),2021-07-15,B.1.617.2 (Delta),54362114990.45878,2.6082064656554564,59145.98110961914,0.9420718361403744,0
Altenrhein (SG),2021-07-16,B.1.617.2 (Delta),79499154665.89087,3.8142410252086814,86495.08027648926,0.935547578444939,0
Altenrhein (SG),2021-07-17,B.1.617.2 (Delta),51201178101.9323,2.4565498196321993,55706.88177490234,0.9241022674517564,0
Altenrhein (SG),2021-07-18,B.1.617.2 (Delta),51197317964.89043,2.4563646164922424,55702.68194580078,0.9048719456791802,0
Altenrhein (SG),2021-07-19,B.1.617.2 (Delta),146903518995.7013,7.048193546909933,43436.0792388916,0.8692579466378059,0
Altenrhein (SG),2021-07-20,B.1.617.2 (Delta),20842719204.285572,1,22676.8784942627,0.8025858579517381,4.59758771875
Altenrhein (SG),2021-07-21,B.1.617.2 (Delta),21095198743.483604,1.0121135604583742,22951.57623291016,0.7203260942964221,5.951200375
Altenrhein (SG),2021-07-22,B.1.617.2 (Delta),73821801931.41666,3.541850811684773,21183.27505493164,0.6602674929934229,2.9006321875000003
Altenrhein (SG),2021-07-23,B.1.617.2 (Delta),228330816937.76694,10.954943771963244,20338.37432861328,0.6741609226063193,3.1144956875000003
Altenrhein (SG),2021-07-24,B.1.617.2 (Delta),410019694130.9149,19.672082616101683,33163.57666015625,0.7331155674709368,0
Altenrhein (SG),2021-07-25,B.1.617.2 (Delta),524389963847.6874,25.159383413842903,37156.17681884766,0.7783506115953013,0
Altenrhein (SG),2021-07-26,B.1.617.2 (Delta),349289843521.189,16.7583624812913,31779.77593994141,0.7850556354615101,4.535165984375
Altenrhein (SG),2021-07-27,B.1.617.2 (Delta),447706265761.53906,21.48022344749931,22562.36950683594,0.7412996302134487,8.998110187499998
Altenrhein (SG),2021-07-28,B.1.617.2 (Delta),676844594582.6991,32.47391033524694,44298.27474975586,0.6426397569127401,0
Altenrhein (SG),2021-07-29,B.1.617.2 (Delta),751735333740.7126,36.06704702840044,20231.37322998047,0.5638789233565642,0
Altenrhein (SG),2021-07-30,B.1.617.2 (Delta),1269237052580.3645,60.89594357339855,26033.87380981445,0.5202523921392525,6.561517734374999
Altenrhein (SG),2021-07-31,B.1.617.2 (Delta),1477630635403.1167,70.89433105730724,32132.27420043945,0.5046825486918738,0
Altenrhein (SG),2021-08-01,B.1.617.2 (Delta),375773777903.8848,18.02901887324856,111209.9791717529,0.5234075886168473,0
Altenrhein (SG),2021-08-02,B.1.617.2 (Delta),1762874341646.9246,84.57986332630013,62640.77732849121,0.6033068030217439,8.420522421874999
Altenrhein (SG),2021-08-03,B.1.617.2 (Delta),1580834177360.1816,75.84587029484803,40751.97448730469,0.7231992725449399,0
Altenrhein (SG),2021-08-04,B.1.617.2 (Delta),1158744805807.0159,55.594704052279354,48219.97746276855,0.8262102305010343,0
Altenrhein (SG),2021-08-05,B.1.617.2 (Delta),786383930703.8302,37.729430742517415,47872.18081665039,0.9014501397883676,9.072048796875
Altenrhein (SG),2021-08-06,B.1.617.2 (Delta),1901759009726.4663,91.24332535917081,33525.6755065918,0.9393538825404278,5.78895528125
Altenrhein (SG),2021-08-07,B.1.617.2 (Delta),3898986719390.977,187.06708472996593,41423.07461547852,0.9588272026068256,7.29220896875
Altenrhein (SG),2021-08-08,B.1.617.2 (Delta),6717118498657.672,322.27649534694746,27991.47213745117,0.9701307487587288,7.125561234375
Altenrhein (SG),2021-08-09,B.1.617.2 (Delta),5016289062204.736,240.67344635019182,27950.66995239258,0.9771059907191528,62.340113093750006
Altenrhein (SG),2021-08-10,B.1.617.2 (Delta),3076654452424.9756,147.61291088124287,24638.37188720703,0.9813323991632668,42.124939515624995
Altenrhein (SG),2021-08-11,B.1.617.2 (Delta),2758930820957.3,132.3690442651083,22398.77368164062,0.9828071750229483,15.874708390624999
Altenrhein (SG),2021-08-12,B.1.617.2 (Delta),2462431896606.1245,118.14350481197347,21022.77398681641,0.9842819508826299,31.583479906250002
Altenrhein (SG),2021-08-13,B.1.617.2 (Delta),2692243286028.4956,129.1694840601667,20896.17523193359,0.9857567267423114,28.000895874999994
Altenrhein (SG),2021-08-14,B.1.617.2 (Delta),3883798907987.14,186.3383980718108,19868.47573852539,0.987231502601993,6.01829534375
Altenrhein (SG),2021-08-15,B.1.617.2 (Delta),3998902361586.562,191.86087584792335,22104.67623901367,0.9887062784616746,7.576392703124999
Altenrhein (SG),2021-08-16,B.1.617.2 (Delta),3312615528774.4976,158.9339421745592,77131.58030700684,0.9897146240681752,25.294124578124997
Altenrhein (SG),2021-08-17,B.1.617.2 (Delta),3726201340873.2236,178.77712137037577,38632.88014221191,0.9904869162031756,41.83894775
Altenrhein (SG),2021-08-18,B.1.617.2 (Delta),4306937903210.337,206.6399235626015,22760.57702636719,0.9912699933897512,5.871538671874999
Altenrhein (SG),2021-08-19,B.1.617.2 (Delta),4053354414104.0483,194.47339737084874,20593.57702636719,0.992212055204085,37.24183775
Altenrhein (SG),2021-08-20,B.1.617.2 (Delta),4286552108727.04,205.66184607264015,20357.27651977539,0.9932808818545787,35.96304746875
Altenrhein (SG),2021-08-21,B.1.617.2 (Delta),4668742225542.281,223.99871052248878,23058.17729187012,0.9942767414082648,0
Altenrhein (SG),2021-08-22,B.1.617.2 (Delta),3552047765906.3643,170.42151415521687,66518.4786529541,0.9949887067435756,10.003169718750001
Altenrhein (SG),2021-08-23,B.1.617.2 (Delta),4632024714628.479,222.23706365895222,58433.67897033691,0.9953644402652156,27.552343015625006
Altenrhein (SG),2021-08-24,B.1.617.2 (Delta),3718051960213.2036,178.38612725007192,26787.67361450195,0.9954954792203986,43.035311296875
Altenrhein (SG),2021-08-25,B.1.617.2 (Delta),3002068638689.283,144.03440401730373,23027.973999023434,0.9955203205012618,13.334600546875
Altenrhein (SG),2021-08-26,B.1.617.2 (Delta),2286085317165.3623,109.6826807845355,19268.27438354492,0.9955778670777998,28.535117468749995
Altenrhein (SG),2021-08-27,B.1.617.2 (Delta),2565016435026.7905,123.06534525971952,20783.47451782227,0.9957624061215288,33.186718703124995
Altenrhein (SG),2021-08-28,B.1.617.2 (Delta),3352370716743.176,160.84133187640307,28137.77600097656,0.99608983365264,8.36637240625
Altenrhein (SG),2021-08-29,B.1.617.2 (Delta),7267929011542.061,348.7034940262337,76966.27839660645,0.9964974309489082,9.0507815
Altenrhein (SG),2021-08-30,B.1.617.2 (Delta),2898707143574.163,139.07528644238252,90763.28065490724,0.9968933320288004,30.179360203125
Altenrhein (SG),2021-08-31,B.1.617.2 (Delta),3416294588823.799,163.90829600205706,100821.9811096191,0.9971922905801364,45.7614808125
Altenrhein (SG),2021-09-01,B.1.617.2 (Delta),4611357954491.219,221.24550589075994,44955.88301086426,0.9858389242135688,26.713303421875004
Altenrhein (SG),2021-09-02,B.1.617.2 (Delta),3236759789485.568,155.29450633389726,27957.17663574219,0.9872275374425176,28.632942015625
Altenrhein (SG),2021-09-03,B.1.617.2 (Delta),3898129499222.853,187.02595669097437,24032.67599487305,0.9881823774681888,35.895725015625004
Altenrhein (SG),2021-09-04,B.1.617.2 (Delta),4523618820692.522,217.03592397686762,21131.97503662109,0.9888203076154884,9.2404529375
Altenrhein (SG),2021-09-05,B.1.617.2 (Delta),4499114055360.93,215.8602249190137,21129.57489013672,0.9891517791519714,4.37585453125
Altenrhein (SG),2021-09-06,B.1.617.2 (Delta),2206769749887.6167,105.87724798565976,20257.97351074219,0.989154648364025,42.43777818750001
Altenrhein (SG),2021-09-07,B.1.617.2 (Delta),2890783304156.4727,138.69511342656696,19361.47274780273,0.98879808816544,23.608697687499998
Altenrhein (SG),2021-09-08,B.1.617.2 (Delta),4074153579293.5586,195.471307719573,18827.36993408203,0.98804380358297,14.3722593125
Altenrhein (SG),2021-09-09,B.1.617.2 (Delta),2918372761997.8545,140.0188110483105,23760.87002563477,0.9869376853939528,26.858033015624997
Altenrhein (SG),2021-09-10,B.1.617.2 (Delta),2719560332865.0786,130.48011184192785,23580.07089233398,0.9856412583749188,30.878767328125
Altenrhein (SG),2021-09-11,B.1.617.2 (Delta),3533993330619.132,169.55529151361836,39691.17230224609,0.9844044716216688,2.995456421875
Altenrhein (SG),2021-09-12,B.1.617.2 (Delta),2640443572715.9453,126.68421748794808,27099.87380981445,0.983487362431664,0
Altenrhein (SG),2021-09-13,B.1.617.2 (Delta),2658027276252.407,127.52785518052161,27891.96984863281,0.9830541328584084,19.144994
Altenrhein (SG),2021-09-14,B.1.617.2 (Delta),1342040584449.2493,64.38893943230333,17194.3701171875,0.9830889580326516,30.622814218749998
Altenrhein (SG),2021-09-15,B.1.617.2 (Delta),2364408277694.7676,113.440489914992,46772.57318115234,0.9834728879629916,8.5399195625
Altenrhein (SG),2021-09-16,B.1.617.2 (Delta),2314943708588.541,111.06725978981449,44257.07308959961,0.984134630776653,24.234117046875003
Altenrhein (SG),2021-09-17,B.1.617.2 (Delta),1233959182623.2566,59.20336835749993,22518.56939697266,0.9850406589160776,19.434505703124998
Altenrhein (SG),2021-09-18,B.1.617.2 (Delta),1391994583440.697,66.78565161279352,22520.56903076172,0.9861430120370032,2.97533209375
Altenrhein (SG),2021-09-19,B.1.617.2 (Delta),3251788739438.624,156.0155710762542,39660.57104492188,0.9873600007761588,0
Altenrhein (SG),2021-09-20,B.1.617.2 (Delta),2597022498512.5747,124.60094448610086,39658.07144165039,0.9885516755060224,35.459070390625
Altenrhein (SG),2021-09-21,B.1.617.2 (Delta),3015545420702.6475,144.68099824914432,31943.16900634766,0.9895799285506648,14.732446968749999
Altenrhein (SG),2021-09-22,B.1.617.2 (Delta),1550169620799.8433,74.37463440380205,18891.96954345703,0.9902753988084048,11.884884171875
Altenrhein (SG),2021-09-23,B.1.617.2 (Delta),1290746220292.8635,61.92791869630268,12179.8698425293,0.9904770174133348,13.804686968749998
Altenrhein (SG),2021-09-24,B.1.617.2 (Delta),685871750378.4731,32.907018688686634,17293.8698425293,0.9902007380336496,13.180062125
Altenrhein (SG),2021-09-25,B.1.617.2 (Delta),1146897379095.2712,55.02628365589899,17970.67044067383,0.989612785571086,2.1124523749999997
Altenrhein (SG),2021-09-26,B.1.617.2 (Delta),1592535617374.9402,76.40728648532055,24458.47201538086,0.9888872778420524,0
Altenrhein (SG),2021-09-27,B.1.617.2 (Delta),1752593378262.5452,84.0865993100452,24459.27206420898,0.9881650606834425,14.050760515624999
Altenrhein (SG),2021-09-28,B.1.617.2 (Delta),608435317813.844,29.191743737963936,23002.57159423828,0.9875808805157852,10.2178908125
Altenrhein (SG),2021-09-29,B.1.617.2 (Delta),463365034553.576,22.231505880398814,22979.7705078125,0.9872387338921756,18.739190265625002
Altenrhein (SG),2021-09-30,B.1.617.2 (Delta),1213058386468.9104,58.200581919248215,22612.37036132812,0.9871456523021274,7.6581866875
Altenrhein (SG),2021-10-01,B.1.617.2 (Delta),626687815613.8357,30.067469098992582,17948.7724609375,0.9871988486517056,15.569129968750001
