city,date,rna,flow,rna_v,variant,proportion,include
Altenrhein (SG),2021-11-10,9290499747665.52,20655.8832244873,v2,B.1.617.2 (Delta),0.987858276944441,TRUE
Altenrhein (SG),2021-11-11,11121609984139.938,19245.88310241699,v2,B.1.617.2 (Delta),0.9891819783489988,TRUE
Altenrhein (SG),2021-11-12,10980674913710.412,18285.78321838379,v2,B.1.617.2 (Delta),0.9904293012996228,TRUE
Altenrhein (SG),2021-11-13,16431808665678.803,29903.08366394043,v2,B.1.617.2 (Delta),0.9915273714454113,TRUE
Altenrhein (SG),2021-11-14,14656113993022.271,20342.0824432373,v2,B.1.617.2 (Delta),0.9923900813857038,TRUE
Altenrhein (SG),2021-11-15,16949102731340.23,19040.98085021973,v2,B.1.617.2 (Delta),0.9929891410668564,TRUE
Altenrhein (SG),2021-11-16,11777770851899.562,16953.77972412109,v2,B.1.617.2 (Delta),0.9933597067334956,TRUE
Altenrhein (SG),2021-11-17,14191037500991.82,17880.87979125977,v2,B.1.617.2 (Delta),0.9935553145349634,TRUE
Altenrhein (SG),2021-11-18,17744944356170.344,15443.38006591797,v2,B.1.617.2 (Delta),0.9935943839277496,TRUE
Altenrhein (SG),2021-11-19,18028937361755.668,15517.37969970703,v2,B.1.617.2 (Delta),0.9934562215544444,TRUE
Altenrhein (SG),2021-11-20,17754607882215.38,14329.18046569824,v2,B.1.617.2 (Delta),0.9800726681190484,TRUE
Altenrhein (SG),2021-11-21,19775151839273.652,14256.98147583008,v2,B.1.617.2 (Delta),0.9822611384099724,TRUE
Altenrhein (SG),2021-11-22,16967548846394.58,15007.88377380371,v2,B.1.617.2 (Delta),0.9836236494176056,TRUE
Altenrhein (SG),2021-11-23,12266733411950.85,14534.78115844727,v2,B.1.617.2 (Delta),0.9844986845673966,TRUE
Altenrhein (SG),2021-11-24,21175770561048.047,14882.18161010742,v2,B.1.617.2 (Delta),0.9851685575895528,TRUE
Altenrhein (SG),2021-11-25,27366928418624.516,21210.78657531738,v2,B.1.617.2 (Delta),0.985878058029605,TRUE
Altenrhein (SG),2021-11-26,26432569033866.277,17910.2865447998,v2,B.1.617.2 (Delta),0.986796021944642,TRUE
Altenrhein (SG),2021-11-27,30189906923646.8,17916.0912322998,v2,B.1.617.2 (Delta),0.987977142718478,TRUE
Altenrhein (SG),2021-11-28,26498192910862.73,17683.39442443848,v2,B.1.617.2 (Delta),0.989360634559542,TRUE
Altenrhein (SG),2021-11-29,25523019981135.02,19904.59443664551,v2,B.1.617.2 (Delta),0.9907916981738464,TRUE
Altenrhein (SG),2021-11-30,20583107382824.652,27111,v2,B.1.617.2 (Delta),0.9920618002813568,TRUE
